Market Return (Buy and Hold),Strategy Total Return,Sharpe Ratio,Maximum Drawdown,Number of Trades,Win Rate,Fast SMA,Slow SMA
3.797300542497852,1.4191837798715201,0.7710365231780094,-0.4673265239513311,33,0.5358224016145308,25,45
3.1577716922630996,1.438758574458685,0.7505172831097574,-0.3592809253234285,47,0.5306532663316583,15,35
3.7966069431277347,1.3364421647321887,0.7375830835009658,-0.535993500718338,57,0.5268389662027833,5,40
4.6743273351242545,1.3341378807855784,0.7371327427562876,-0.49091501426990786,53,0.5278592375366569,5,50
3.797300542497852,1.2793003305027786,0.7175359033625612,-0.5371199825638915,57,0.5278048780487805,5,45
3.7966069431277347,1.2014454280508087,0.7058009635846041,-0.4341399620125741,37,0.53125,30,40
3.797300542497852,1.1672799845002597,0.6952574322693065,-0.42368610650760913,35,0.5340793489318413,30,45
3.1577716922630996,1.158818565187397,0.6704072592947604,-0.5239182098856409,45,0.5347222222222222,20,35
3.1577716922630996,1.118429622156527,0.6613818416927819,-0.5339967979933027,65,0.5279441117764471,5,35
3.1532822342544256,1.0885214582191227,0.6432238392938983,-0.48929337571342885,53,0.5319148936170213,20,30
3.1577716922630996,0.9728021954653352,0.6187995178027859,-0.5487352115094819,51,0.5292338709677419,30,35
3.1577716922630996,0.9806171559429531,0.6036581894801342,-0.4828151159388535,47,0.5305917753259779,10,35
3.1532822342544256,0.9533947853244156,0.5982158590323039,-0.4754000548225237,75,0.5221774193548387,5,30
3.1532822342544256,0.9122911699306981,0.5778305720607109,-0.41050463992329544,54,0.5218274111675127,15,30
3.1532822342544256,0.6105257187670403,0.45546636216407244,-0.5263679498137218,56,0.5253036437246964,10,30
